text,start,destination,start_surface,destination_surface,source_type,context_type,split
강변 역 에서 서울약 까지 가고 싶어요,강변역,서울역,강변 역,서울약,all_noisy_station_surface,route_search,train
한강진 여기 에서 우장산 여기 까지 가고 싶어요,한강진역,우장산역,한강진 여기,우장산 여기,all_noisy_station_surface,route_search,train
건대입고역 까지 가야 하는데 서울대입고역 에서 어떻게 가요,서울대입구역,건대입구역,서울대입고역,건대입고역,all_noisy_station_surface,route_search,train
뚝섬약 출발 신도림 역 도착 경로 알려줘,뚝섬역,신도림역,뚝섬약,신도림 역,all_noisy_station_surface,route_search,train
충정로 여기 에서 종각 여기 까지 가는 길 알려줘,충정로역,종각역,충정로 여기,종각 여기,all_noisy_station_surface,route_search,train
시청 역 에서 숙대 입고 여기 까지 지금 지하철 탈 수 있어,시청역,숙대입구역,시청 역,숙대 입고 여기,all_noisy_station_surface,subway_availability_check,train
상봉 여기 에서 역삼력 까지 막차 남았어,상봉역,역삼역,상봉 여기,역삼력,all_noisy_station_surface,last_train_check,train
지금 신촌 역 에서 가산디지털 여기 까지 막차 탈 수 있어,신촌역,가산디지털단지역,신촌 역,가산디지털 여기,all_noisy_station_surface,last_train_check,train
수서 여기 에서 상봉에 까지 지금 지하철 탈 수 있어,수서역,상봉역,수서 여기,상봉에,all_noisy_station_surface,subway_availability_check,train
선릉 여기 에서 한성대입구약 까지 지하철 운행 중이야,선릉역,한성대입구역,선릉 여기,한성대입구약,all_noisy_station_surface,subway_availability_check,train
문정에 에서 상봉에 까지 택시 말고 가는 방법 있어,문정역,상봉역,문정에,상봉에,all_noisy_station_surface,alternative_route,train
아현에 에서 둔촌동 까지 환승 적은 경로 알려줘,아현역,둔촌동역,아현에,둔촌동,all_noisy_station_surface,route_search,train
발산약 까지 가야 하는데 까치산에 에서 어떻게 가요,까치산역,발산역,까치산에,발산약,all_noisy_station_surface,route_search,train
대치 에서 회현력 까지 지하철 없으면 버스로 갈 수 있어요,대치역,회현역,대치,회현력,all_noisy_station_surface,alternative_route,train
학여울 에서 연신내력 까지 어떻게 가나요,학여울역,연신내역,학여울,연신내력,all_noisy_station_surface,route_search,train
마포력 에서 천호약 까지 막차 남았어,마포역,천호역,마포력,천호약,all_noisy_station_surface,last_train_check,train
동대문 여기 출발 석촌 도착 경로 알려줘,동대문역,석촌역,동대문 여기,석촌,all_noisy_station_surface,route_search,train
숙대 입고 여기 에서 서을역 까지 지금 지하철 탈 수 있어,숙대입구역,서울역,숙대 입고 여기,서을역,all_noisy_station_surface,subway_availability_check,train
